what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381195263113
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381195268571
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381195274250
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381195274517
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381195276970
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381195277043
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381195278081
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381195278123
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381195278169
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381195278333
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381195279729
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381195280196
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1381195352032
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381195352079
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381195354627
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1381195360982
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1381195361033
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381195395004
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381195395306
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381195397266
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381195397349
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381195398457
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381195398501
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381195398574
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381195398716
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381195399871
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381195400360
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381195405524
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381195514127
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381195516443
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381195519457
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381195538947
